Customers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CustAddress,first_name,last_name,email,gender,CustCity,CustState,CustSuffix,SSN,StartDate,EndDate,CusDOB,CustomerLegacyID,WithholdingCode,Alias LastName,Alias FirstName,Alias Suffix,AliasDOB,,AliasMailAddressas,,image DocumentID,age,heredity,income,burn the midnight oil,unhealthy eating habit,unstable emotion status,smoking and drinking,insufficient physical exercises,type of chronic disease ,
1 Sheridan Court,Reider,Blinkhorn,azold0@usa.gov,Male,Melbourne,Florida,II,409-39-9148,4/30/2000,1/12/2018,5/28/2010,2331805,6876,Zold,Ariel,IV,6/25/1998,,azold0@is.gd,,263414,13,0,0,0,1,1,0,0,obesity,
0 Johnson Park,Morrie,Kramer,sjeenes1@huffingtonpost.com,Male,San Jose,California,II,762-01-2795,11/17/2005,10/14/2022,12/19/2011,2290149,1342,Jeenes,Scotti,III,11/30/2006,,sjeenes1@cmu.edu,,403547,12,0,0,0,0,0,0,0,none,
9 Summit Park,Kellsie,Greener,bcodeman2@nymag.com,Female,Grand Rapids,Michigan,Jr,567-75-7966,2/27/2002,2/24/2022,4/13/1984,759479,4890,Codeman,Brena,Sr,5/12/1987,,bcodeman2@wordpress.org,,949437,39,1,1000,,1,1,1,1,"obesity, hyperlipemia",
42 Grim Center,Elijah,Rountree,sbunting3@oracle.com,Male,Aiken,South Carolina,Jr,524-38-9939,7/25/2005,9/19/2021,11/13/1995,4888121,5859,Bunting,Selig,Sr,9/20/2000,,sbunting3@answers.com,,877493,28,0,8000,,1,1,1,1,none,
4946 Lakewood Gardens Plaza,Kipper,Attkins,ghadland4@tamu.edu,Male,Anaheim,California,Sr,405-59-5143,7/24/2003,3/31/2017,8/28/2018,8078759,1223,Hadland,Geri,III,7/22/2007,,ghadland4@nymag.com,,239110,5,0,0,0,0,0,0,0,none,
95 Schiller Point,Homere,Blamires,evolonte5@desdev.cn,Male,Los Angeles,California,Sr,659-17-9120,8/2/2003,7/5/2022,8/22/1994,7658910,6301,Volonte,Ermanno,IV,12/2/1995,,evolonte5@huffingtonpost.com,,131616,29,0,7000,,0,1,1,1,"obesity,diabetes",
39440 Chive Alley,Letta,Dumingo,spryde6@nifty.com,Female,Nashville,Tennessee,Jr,724-85-8870,12/15/2003,11/8/2011,2/15/2017,882083,5907,Pryde,Shaylyn,III,1/11/1983,,spryde6@ezinearticles.com,,627763,6,0,0,0,0,0,0,0,noen,
8 Sherman Hill,Filmer,Ratter,kdragge7@elegantthemes.com,Male,Tacoma,Washington,Jr,519-66-6922,5/9/2003,4/5/2014,12/25/2020,7964137,9769,Dragge,Kerby,II,1/17/1980,,kdragge7@npr.org,,266530,3,0,0,0,0,0,0,0,noen,
6 Graedel Crossing,Justis,Jobbins,stregoning8@nytimes.com,Agender,Saint Louis,Missouri,IV,465-06-3975,12/1/2003,5/25/2012,7/3/1995,4131191,2819,Tregoning,Siegfried,Sr,11/30/2001,,stregoning8@spiegel.de,,56168,28,1,50000,,0,1,1,1,noen,
2 Melvin Lane,Vernor,Onraet,mturbard9@1688.com,Male,Green Bay,Wisconsin,Jr,134-81-1815,12/16/2004,1/18/2018,10/14/1997,942479,1880,Turbard,Marius,II,6/15/1989,,mturbard9@slashdot.org,,896758,26,0,20000,,1,1,1,,obesity,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Invoice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
InvoiceNumber,PaidDate,DueDate,RunDate,Invoice Line Number,InvoceLineNumber,Detail lD,PremiumSubTotal,ConversionPendingFlag,PainAheadFlag,SSN,BAcctName,,,,,,,,,,,,,,,,,,,,
38741872,12/18/2018,2/21/2021,10/31/2021,18154,35814738,556806,4612,0,1,409-39-9148,tz1XdGGFDM775bpQFb3KMkKg63xi5fUFoHmn,,,,,,,,,,,,,,,,,,,,
95484791,3/23/2019,12/27/2021,1/16/2020,33926,12719469,722508,3102,1,1,762-01-2795,tz1NvHhtshh4M4p97BZgqL3JvWazfMZcL3Uz,,,,,,,,,,,,,,,,,,,,
76195147,7/16/2019,6/6/2021,12/10/2022,71125,18725396,707295,6357,1,1,567-75-7966,tz1W28HGFpPVB8WvZYJ2vxs12Bs3eDoutkUD,,,,,,,,,,,,,,,,,,,,
40898446,8/15/2019,5/28/2022,12/13/2021,60167,18157662,997798,1971,1,1,524-38-9939,tz1YWmPvBmBv9LzquFd5cjh7uwsMyZt1w2n2,,,,,,,,,,,,,,,,,,,,
47802033,10/6/2019,4/2/2022,1/29/2020,17393,64601081,409177,1488,0,1,405-59-5143,tz1cXsoLiTwuUY2oYrKWG4cFdssmq9pTqVqL,,,,,,,,,,,,,,,,,,,,
7022218,2/15/2018,5/9/2022,7/19/2020,32034,26496742,319492,281,1,1,659-17-9120,tz1PHm6GN64ZVVyGwmgWvDShjbfCP3dUvwNH,,,,,,,,,,,,,,,,,,,,
23109489,10/28/2018,8/2/2022,3/9/2022,99546,78617683,420651,4437,0,1,724-85-8870,tz1Xh6TGndujK8Yxj1nGVybkfwh2a26snr7h,,,,,,,,,,,,,,,,,,,,
42232282,3/20/2019,6/28/2022,11/28/2022,75606,20116147,864198,7643,1,1,519-66-6922,tz1dJUQRXHrnxej3okj1Bbpqj5ncTcY8kVKq,,,,,,,,,,,,,,,,,,,,
63776790,11/19/2019,10/4/2021,5/15/2022,78207,89903755,524331,4552,1,1,465-06-3975,tz1iMS534U2ea6sLZ7yGaLh58hMFqu2cLWmQ,,,,,,,,,,,,,,,,,,,,
11258659,6/8/2019,6/4/2022,10/4/2022,45606,16564096,667094,1052,0,1,134-81-1815,tz1SFCcemnJuwSdzhC2m2o346egjKNumhQ6m,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remittance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RemittanceFreq,RemittanceID,RemittanceDate,PaymentDate,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/month,1331123,7/20/2018,8/21/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/month,9344953,9/18/2021,9/22/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/month,6405369,12/9/2018,12/15/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/month,6649383,10/8/2021,10/14/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/month,4205331,9/16/2022,9/22/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/month,3375034,10/21/2019,10/26/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0/month,1119868,5/18/2021,5/24/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/month,6600634,7/20/2021,7/29/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/month,8952054,5/5/2019,5/15/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/month,1323030,2/7/2019,8/17/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AccAdmin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AccountFlag,BAcctFlag,AdminDescription,AdminID,AdminLastName,AdminFirstName,Adminsuffix,AdminAddress,AdminCity,AdminState,AdminZip,Phone,FaxNumber,Gender,EmailAddress,,AdminDescription,AdminID,,AdminLastName,,AdminFirstName,AdminAddress,AdminCity,AdminState,FaxNumber,Gender,EmailAddress,,,,
1,1,1,6453586,Robison,Yorgos,IV,4 Pond Center,Columbia,Missouri,56420,573-388-2587,585-151-4147,Male,yrobison0@abc.net.au,,,6081118,,Hellin,,Lemar,5527 Burrows Court,Hampton,Virginia,424-916-4699,Male,lhellin0@blogger.com,,,,
1,0,1,9156372,Raffles,Juliette,IV,16 Anhalt Junction,Honolulu,Hawaii,45655,808-454-0990,562-712-9070,Female,jraffles1@oaic.gov.au,,,,,,,,,,,,,,,,,
1,1,1,1050478,Worpole,Meara,Jr,094 Lindbergh Lane,New York City,New York,68439,516-451-9358,626-267-0296,Female,mworpole2@vk.com,,,,,,,,,,,,,,,,,
1,1,1,1370237,Curry,Ruth,Sr,194 Lyons Crossing,Peoria,Illinois,85220,309-280-5076,434-852-5098,Female,rcurry3@thetimes.co.uk,,,,,,,,,,,,,,,,,
1,1,1,3087649,Baldrey,Susanetta,Jr,555 Waubesa Center,Fort Worth,Texas,56818,817-552-7417,312-407-6282,Female,sbaldrey4@cocolog-nifty.com,,,,,,,,,,,,,,,,,
1,1,1,6901749,Duffer,Artus,Jr,37 Golf View Point,Saint Petersburg,Florida,52560,727-180-9767,801-436-1829,Male,aduffer5@ed.gov,,,,,,,,,,,,,,,,,
1,1,1,9968456,Loxdale,Corry,Jr,13979 Clemons Crossing,West Hartford,Connecticut,45121,860-182-0779,616-639-6207,Female,cloxdale6@aboutads.info,,,,,,,,,,,,,,,,,
1,1,1,9869633,Scarff,Corrie,Jr,006 Sugar Trail,Norwalk,Connecticut,70528,203-665-2508,915-465-4800,Male,cscarff7@macromedia.com,,,,,,,,,,,,,,,,,
1,1,1,7550930,Cowen,Chaddie,II,31 Spaight Pass,Milwaukee,Wisconsin,1174,414-855-0904,850-739-7969,Male,ccowen8@disqus.com,,,,,,,,,,,,,,,,,
1,1,1,7836320,Faulconer,Caleb,Sr,5043 Hintze Avenue,Lexington,Kentucky,10448,859-254-0720,920-452-1499,Male,cfaulconer9@friendfeed.com,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BillingAccount,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAcctID,BAcctName,BillingAddress1,BillingAddress2,BillingCity,BillingState,BillingZip,OnlineBillingFlag,ActivityStatus,ActivityStatusDate,PayrollProcessorFlag,BillingPhone,BillingAcctTypeDate,SpecialHandingCode,ChangeFilesFlag,EnrollmentFileFlag,DebitCardFlag,BillingFileFlag,,NextVisitDate,,,,,,,,,,,,
6191095,tz1XdGGFDM775bpQFb3KMkKg63xi5fUFoHmn,4 Claremont Way,Suite 43,Salt Lake City,Utah,61246,TRUE,TRUE,12/19/2020,FALSE,801-639-5596,1/21/2022,1416,FALSE,TRUE,TRUE,TRUE,,5/24/2020,,,,,,,,,,,,
641504,tz1NvHhtshh4M4p97BZgqL3JvWazfMZcL3Uz,6360 Chinook Trail,Room 1144,Columbus,Ohio,16883,FALSE,TRUE,6/2/2020,TRUE,614-819-1680,3/9/2022,2006,FALSE,FALSE,TRUE,TRUE,,9/10/2023,,,,,,,,,,,,
3958856,tz1W28HGFpPVB8WvZYJ2vxs12Bs3eDoutkUD,8 Mayer Hill,5th Floor,Dallas,Texas,35389,TRUE,FALSE,11/7/2020,TRUE,972-795-9246,2/26/2023,3862,FALSE,FALSE,FALSE,FALSE,,5/2/2019,,,,,,,,,,,,
802300,tz1YWmPvBmBv9LzquFd5cjh7uwsMyZt1w2n2,02 Sycamore Road,Room 1090,Albany,New York,8885,TRUE,FALSE,5/17/2021,FALSE,518-786-5817,4/19/2021,1131,FALSE,TRUE,TRUE,FALSE,,1/14/2019,,,,,,,,,,,,
596935,tz1cXsoLiTwuUY2oYrKWG4cFdssmq9pTqVqL,066 Carpenter Terrace,Room 106,Cleveland,Ohio,2198,FALSE,FALSE,12/4/2018,FALSE,216-223-1550,3/23/2022,1437,FALSE,TRUE,FALSE,TRUE,,2/20/2023,,,,,,,,,,,,
3760858,tz1PHm6GN64ZVVyGwmgWvDShjbfCP3dUvwNH,86 Marquette Way,Apt 844,Pittsburgh,Pennsylvania,22268,FALSE,TRUE,7/4/2018,FALSE,412-835-0866,4/4/2023,8110,FALSE,FALSE,TRUE,TRUE,,2/20/2023,,,,,,,,,,,,
1181152,tz1Xh6TGndujK8Yxj1nGVybkfwh2a26snr7h,43816 Quincy Street,PO Box 81999,Bryan,Texas,77775,FALSE,FALSE,3/20/2019,FALSE,979-844-4232,11/6/2021,5200,TRUE,FALSE,TRUE,TRUE,,8/16/2020,,,,,,,,,,,,
